ID,timePoint,samp,Vegetation,Precip,substrate,genesPerMillionReads
22X,0,T1,Grassland,Ambient,cellulose,204438.4127
8X,0,T1,Grassland,Ambient,cellulose,232326.8099
18X,0,T1,Grassland,Ambient,cellulose,197294.7384
4X,0,T1,Grassland,Ambient,cellulose,218775.9393
8X,5,T3,Grassland,Ambient,cellulose,180221.3755
4X,5,T3,Grassland,Ambient,cellulose,140807.3674
22X,5,T3,Grassland,Ambient,cellulose,133013.513
18X,5,T3,Grassland,Ambient,cellulose,146650.6513
4X,3,T2,Grassland,Ambient,cellulose,156710.049
22X,3,T2,Grassland,Ambient,cellulose,142092.6331
8X,3,T2,Grassland,Ambient,cellulose,151913.2539
18X,3,T2,Grassland,Ambient,cellulose,162268.0651
22X,6,T4,Grassland,Ambient,cellulose,145364.6296
18X,6,T4,Grassland,Ambient,cellulose,144496.6548
8X,6,T4,Grassland,Ambient,cellulose,140999.3064
4X,6,T4,Grassland,Ambient,cellulose,142780.8671
7R,0,T1,Grassland,Reduced,cellulose,164609.5071
20R,0,T1,Grassland,Reduced,cellulose,216732.6645
5R,0,T1,Grassland,Reduced,cellulose,151397.9689
14R,0,T1,Grassland,Reduced,cellulose,198934.4925
20R,5,T3,Grassland,Reduced,cellulose,140801.6641
14R,5,T3,Grassland,Reduced,cellulose,143916.2001
7R,5,T3,Grassland,Reduced,cellulose,155243.7532
5R,5,T3,Grassland,Reduced,cellulose,145473.3696
5R,3,T2,Grassland,Reduced,cellulose,159310.2086
7R,3,T2,Grassland,Reduced,cellulose,160157.5825
20R,3,T2,Grassland,Reduced,cellulose,152069.914
14R,3,T2,Grassland,Reduced,cellulose,140024.2059
20R,6,T4,Grassland,Reduced,cellulose,146668.5918
14R,6,T4,Grassland,Reduced,cellulose,138662.9458
7R,6,T4,Grassland,Reduced,cellulose,149677.0506
5R,6,T4,Grassland,Reduced,cellulose,155881.3029
27X,0,T1,CSS,Ambient,cellulose,156511.666
46X,0,T1,CSS,Ambient,cellulose,162221.0036
48X,0,T1,CSS,Ambient,cellulose,156327.1793
32X,0,T1,CSS,Ambient,cellulose,153390.6114
46X,5,T3,CSS,Ambient,cellulose,151750.323
48X,5,T3,CSS,Ambient,cellulose,170909.8044
27X,5,T3,CSS,Ambient,cellulose,151607.0485
32X,5,T3,CSS,Ambient,cellulose,146777.376
48X,3,T2,CSS,Ambient,cellulose,155384.89800000002
32X,3,T2,CSS,Ambient,cellulose,137418.6859
27X,3,T2,CSS,Ambient,cellulose,139004.7139
46X,3,T2,CSS,Ambient,cellulose,173930.0835
27X,6,T4,CSS,Ambient,cellulose,146364.3352
48X,6,T4,CSS,Ambient,cellulose,142171.208
46X,6,T4,CSS,Ambient,cellulose,146128.9379
32X,6,T4,CSS,Ambient,cellulose,131665.6476
25R,0,T1,CSS,Reduced,cellulose,197548.0894
35R,0,T1,CSS,Reduced,cellulose,211505.004
47R,0,T1,CSS,Reduced,cellulose,198290.2454
45R,0,T1,CSS,Reduced,cellulose,178511.1943
47R,5,T3,CSS,Reduced,cellulose,138649.5165
25R,5,T3,CSS,Reduced,cellulose,143160.3126
45R,5,T3,CSS,Reduced,cellulose,152332.3208
35R,5,T3,CSS,Reduced,cellulose,151042.8755
25R,3,T2,CSS,Reduced,cellulose,183108.8319
45R,3,T2,CSS,Reduced,cellulose,159788.5601
47R,3,T2,CSS,Reduced,cellulose,170793.5501
35R,3,T2,CSS,Reduced,cellulose,168238.9612
47R,6,T4,CSS,Reduced,cellulose,147800.8104
25R,6,T4,CSS,Reduced,cellulose,141812.8118
35R,6,T4,CSS,Reduced,cellulose,147757.2768
45R,6,T4,CSS,Reduced,cellulose,136745.2397
22X,0,T1,Grassland,Ambient,chitin,37382.39893
8X,0,T1,Grassland,Ambient,chitin,37031.6096
18X,0,T1,Grassland,Ambient,chitin,40483.3796
4X,0,T1,Grassland,Ambient,chitin,38417.0785
