id,veg,prec,samp,cellulose,chitin,hemicellulose,lignin,oligosaccharides,peptidoglycan,polysaccharides,starch
T022X,grass ,amb ,T1,204438.4127,37382.39893,119257.8744,72808.79978,41143.85742,7133.885663,26292.03163,95101.07258
T08X,grass ,amb ,T1,232326.8099,37031.6096,121662.1334,80090.49723,42453.0716,6115.052523,29478.1435,81668.71715
T018X,grass ,amb ,T1,197294.7384,40483.3796,112516.4328,71182.43638,42689.50749,10316.76389,27431.72063,95599.07621
T04X,grass ,amb ,T1,218775.9393,38417.0785,113676.5652,70056.6866,41911.6473,7830.31011,26059.01868,94518.80933
T58X,grass ,amb ,T3,180221.3755,37758.15117,137430.8844,77675.56828,41299.32891,11977.66333,22546.8887,80346.42781
T54X,grass ,amb ,T3,140807.3674,37103.32574,128745.4296,77468.06987,36719.15487,19058.03029,18012.24832,95271.20321
T522X,grass ,amb ,T3,133013.513,35178.38848,123326.331,82016.73943,30790.18166,21655.31587,14039.91232,104701.7512
T518X,grass ,amb ,T3,146650.6513,35024.11713,120538.7516,75168.28876,35798.97037,18172.90695,15086.97498,94812.93533
T34X,grass ,amb ,T2,156710.049,38840.58808,134116.9816,72937.90432,39944.8015,16705.97583,20097.62028,97407.70239
T322X,grass ,amb ,T2,142092.6331,39973.09092,135838.1974,65234.8714,42480.26582,17393.62122,17836.8706,97236.78992
T38X,grass ,amb ,T2,151913.2539,37056.5079,131285.4182,68456.21205,44879.18009,15224.97941,19621.55367,98224.4454
T318X,grass ,amb ,T2,162268.0651,36384.72602,132987.0384,68895.40484,48136.19118,14995.90042,22351.43867,93593.87329
T622X,grass ,amb ,T4,145364.6296,32315.83482,128460.2188,70882.85243,29146.29392,20497.98713,17018.13947,112864.8064
T618X,grass ,amb ,T4,144496.6548,35131.30294,134121.6332,76096.98371,33619.60532,20056.11991,16980.49582,95718.60099
T68X,grass ,amb ,T4,140999.3064,32840.78364,125714.6619,74110.66295,38235.42352,16901.28756,18729.45604,117564.1026
T64X,grass ,amb ,T4,142780.8671,33510.67105,129557.524,68864.78445,31060.42066,19755.04665,18064.93071,106453.9741
T07R,grass ,red ,T1,164609.5071,39882.17292,98524.27414,65517.94531,39222.66375,15480.90782,23171.61489,111420.1012
T020R,grass ,red ,T1,216732.6645,37374.68082,120295.8304,80337.4867,45606.78416,10226.85992,26668.94872,80879.92205
T05R,grass ,red ,T1,151397.9689,44839.25093,104114.2859,60785.15183,41294.91319,25800.37692,18423.87361,102487.0443
T014R,grass ,red ,T1,198934.4925,35606.18914,119851.2186,66223.29161,44897.78921,14673.16336,25791.56491,102512.9758
T520R,grass ,red ,T3,140801.6641,37310.56315,129165.6817,71422.98443,40889.96269,18393.06589,18265.27861,104361.99
T514R,grass ,red ,T3,143916.2001,37704.09122,130515.2701,69595.39988,38835.23984,19000.30854,19264.37466,95463.08714
