id,veg,prec,samp,Cell_wall,Cellulose,Chitin,Glycogen,Hemicellulose,Inulin,Lignin,Oligosaccharides,Pectin,Peptidoglycan,Polysaccharide,Starch,Trehalose,Total
T022X,grass ,amb ,T1,2.456684769,20.6620119,3.853116111,0.077579519,12.02482545,0.80165503,7.525213344,4.784070339,6.982156711,0.74993535,3.232479959,8.249288854,0.698215671,3867
T08X,grass ,amb ,T1,2.56639143,21.95938407,3.994644053,0.066949342,12.14014729,0.892657889,8.301718366,4.686453917,7.721490739,0.825708547,3.124302611,7.944655211,0.669493417,4481
T018X,grass ,amb ,T1,2.064369311,19.70091027,3.852405722,0.178803641,11.91482445,0.715214564,7.899869961,4.811443433,7.233420026,1.007802341,3.039661899,8.598829649,0.601430429,6152
T04X,grass ,amb ,T1,2.264964947,20.60039547,3.900772964,0.16178321,11.98993349,0.647132842,7.154413086,4.763616754,7.280244472,1.132482473,2.624483193,9.059859788,0.593205105,5563
T58X,grass ,amb ,T3,2.051282051,18.4004884,3.785103785,0.280830281,14.05372405,0.659340659,8.058608059,4.908424908,8.778998779,1.147741148,2.588522589,7.606837607,0.598290598,8190
T54X,grass ,amb ,T3,1.472650771,15.54698457,3.471248247,0.455820477,13.19074334,0.406732118,7.734922861,3.884992987,6.774193548,1.647966339,1.921458626,9.074333801,0.4628331,14260
T522X,grass ,amb ,T3,1.348884381,15.22312373,3.377281947,0.547667343,13.64097363,0.425963489,8.438133874,3.31643002,7.302231237,1.886409736,1.602434077,8.793103448,0.436105477,9860
T518X,grass ,amb ,T3,1.502451368,16.52696505,3.337023565,0.395381939,13.34809426,0.521904159,8.09742211,3.890558279,7.765301281,1.660604144,1.802941642,8.603510992,0.553534715,6323
T34X,grass ,amb ,T2,1.448692153,15.96579477,3.70221328,0.342052314,13.63179074,0.452716298,6.941649899,4.577464789,7.997987928,1.599597586,1.99195171,9.124748491,0.46277666,9940
T322X,grass ,amb ,T2,1.29328682,15.26418787,3.692674211,0.374372501,13.76669786,0.536033353,6.849315068,4.815791713,8.168127287,1.591083128,1.98247256,8.763719901,0.587084149,11753
T38X,grass ,amb ,T2,1.619251096,15.72022939,3.575846171,0.31485438,13.13392556,0.438547172,6.949285955,4.711570898,8.44484426,1.551782301,2.080287867,8.737209041,0.404812774,8893
T318X,grass ,amb ,T2,1.482513938,16.07957425,3.459199189,0.36746072,13.72275722,0.494171313,7.019766853,4.71363406,8.248859605,1.558540294,2.331474911,8.400912316,0.557526609,7892
T622X,grass ,amb ,T4,1.088270859,15.84038694,3.03808948,0.665054414,14.54050786,0.256952842,6.620314389,3.113663845,7.043530834,1.904474002,1.859129383,9.340991536,0.665054414,6616
T618X,grass ,amb ,T4,1.231383643,16.03294783,3.328063899,0.465928946,14.01114901,0.33280639,7.338380897,3.793992845,7.687827606,1.688992429,1.9635577,8.469922623,0.557450703,12019
T68X,grass ,amb ,T4,1.139721401,15.23849726,2.933727311,0.443224989,14.75306036,0.33769523,7.344871254,4.411143943,7.914731954,1.435204728,2.110595188,8.864499789,0.443224989,4738
