,shan,veg,prec,samp
T014R_2,4.985788257,Grass,Reduced ,T1
T018X_2,4.841743895,Grass,Ambient ,T1
T020R_2,4.168524677,Grass,Reduced ,T1
T022X_2,4.561382855,Grass,Ambient ,T1
T025R_1,5.387064291,Shrub,Reduced ,T1
T027X_2,5.749716488,Shrub,Ambient ,T1
T032X_1,5.581308508,Shrub,Ambient ,T1
T035R_1,5.282150866,Shrub,Reduced ,T1
T045R_2,5.73526472,Shrub,Reduced ,T1
T046X_2,5.60387528,Shrub,Ambient ,T1
T047R_2,5.558479789,Shrub,Reduced ,T1
T048X_2,5.667348723,Shrub,Ambient ,T1
T04X_2,4.670560529,Grass,Ambient ,T1
T05R_2,5.508907747,Grass,Reduced ,T1
T07R_2,5.035706731,Grass,Reduced ,T1
T08X_2,4.038890762,Grass,Ambient ,T1
T314R_2,5.740682254,Grass,Reduced ,T2
T318X_2,5.453764296,Grass,Ambient ,T2
T320R_1,5.550355297,Grass,Reduced ,T2
T322X_2,5.592560798,Grass,Ambient ,T2
T325R_1,5.547654963,Shrub,Reduced ,T2
T327X_2,5.761081808,Shrub,Ambient ,T2
T332X_2,5.780466777,Shrub,Ambient ,T2
T335R_2,5.628637665,Shrub,Reduced ,T2
T345R_2,5.635105637,Shrub,Reduced ,T2
T346X_2,5.776807256,Shrub,Ambient ,T2
T347R_2,5.141199786,Shrub,Reduced ,T2
T348X_2,5.680194545,Shrub,Ambient ,T2
T34X_1,5.460272343,Grass,Ambient ,T2
T35R_2,5.44885038,Grass,Reduced ,T2
T37R_2,5.424698303,Grass,Reduced ,T2
T38X_2,5.457976899,Grass,Ambient ,T2
T514R_1,5.602164837,Grass,Reduced ,T3
T518X_2,5.556319346,Grass,Ambient ,T3
T520R_2,5.639696062,Grass,Reduced ,T3
T522X_1,5.734161388,Grass,Ambient ,T3
T525R_2,5.701242155,Shrub,Reduced ,T3
T527X_1,5.768045402,Shrub,Ambient ,T3
T532X_2,5.805860973,Shrub,Ambient ,T3
T535R_1,5.794040606,Shrub,Reduced ,T3
T545R_2,5.567998367,Shrub,Reduced ,T3
T546X_2,5.576193408,Shrub,Ambient ,T3
T547R_2,5.745627289,Shrub,Reduced ,T3
T548X_2,5.621902835,Shrub,Ambient ,T3
T54X_1,5.628020461,Grass,Ambient ,T3
T55R_1,5.673354374,Grass,Reduced ,T3
T57R_2,5.365496067,Grass,Reduced ,T3
T58X_2,4.997555146,Grass,Ambient ,T3
T614R_1,5.629608757,Grass,Reduced ,T4
T618X_2,5.636525021,Grass,Ambient ,T4
T620R_1,5.521639022,Grass,Reduced ,T4
T622X_2,5.675694678,Grass,Ambient ,T4
T625R_1,5.795283919,Shrub,Reduced ,T4
T627X_2,5.84943323,Shrub,Ambient ,T4
T632X_2,5.748802145,Shrub,Ambient ,T4
T635R_1,5.735975388,Shrub,Reduced ,T4
T645R_2,5.695875237,Shrub,Reduced ,T4
T646X_2,5.838042606,Shrub,Ambient ,T4
T647R_2,5.75184565,Shrub,Reduced ,T4
T648X_2,5.839308251,Shrub,Ambient ,T4
T64X_1,5.65918682,Grass,Ambient ,T4
T65R_1,5.580242351,Grass,Reduced ,T4
T67R_2,5.804398608,Grass,Reduced ,T4
T68X_2,5.759906988,Grass,Ambient ,T4
