wavelength	t0-14	t0-18	t0-20	t0-22	t0-25	t0-27	t0-32	t0-35	t0-4	t0-45	t0-46	t0-47	t0-48	t0-5	t0-7	t0-8	t3-14	t3-18	t3-20	t3-22	t3-25	t3-27	t3-32	t3-35	t3-4	t3-45	t3-46	t3-47	t3-48	t3-5	t3-7	t3-8	t5-14	t5-18	t5-20	t5-22	t5-25	t5-27	t5-32	t5-35	t5-4	t5-45	t5-46	t5-47	t5-48	t5-5	t5-7	t5-8	t6-14	t6-18	t6-20	t6-22	t6-25	t6-27	t6-32	t6-35	t6-4	t6-45	t6-46	t6-47	t6-48	t6-5	t6-7	t6-8
900.594	0.06721246	0.08949181	0.03110077	0.01336115	0.06896608	0.03211777	0.02830419	0.05441047	0.05051988	0.05642893	0.0903877	0.0532071	0.05413374	0.02751649	0.02135173	0.0493769	0.0923826	0.05989803	0.08607983	0.01645592	0.05102341	0.1043148	0.05639182	0.1055852	0.06435752	0.08824687	0.1033783	0.02214627	0.09307282	0.03958884	0.1040619	0.08225291	0.0455531	0.08816546	0.09977215	0.1141065	0.1203799	0.1306988	0.1103403	0.09021455	0.129467	0.08038466	0.09635989	0.1086723	0.06226145	0.07690219	0.08907335	0.09012111	0.1060942	0.04377881	0.1269241	0.1787318	0.1338056	0.1361587	0.07019977	0.1594181	0.1171871	0.05429824	0.1287844	0.113188	0.1170767	0.1110516	0.1571895	0.1224601
902.522	0.06608036	0.08817153	0.03084618	0.01308452	0.06927262	0.03262942	0.02844013	0.05462741	0.05019335	0.05730128	0.09073734	0.05345492	0.05486649	0.02730361	0.02117594	0.04909314	0.09100515	0.05956718	0.08567979	0.01628887	0.05137281	0.1049904	0.05684901	0.1062315	0.06359251	0.08843981	0.1037329	0.02227629	0.09384209	0.03955312	0.1016577	0.08173218	0.04510575	0.08773316	0.1005103	0.1137172	0.1215974	0.131027	0.1104579	0.09115852	0.1286719	0.08052515	0.09730146	0.1090815	0.0627183	0.07668773	0.08800695	0.08972366	0.1053286	0.04323432	0.1265303	0.1787927	0.1347776	0.1382099	0.07084287	0.1612938	0.1160595	0.05430413	0.1306849	0.1136238	0.1193308	0.1099821	0.1576454	0.1238591
904.451	0.06467596	0.08669639	0.03043994	0.01278212	0.06964146	0.03309262	0.02861159	0.05492169	0.04980619	0.05809073	0.09129515	0.05379438	0.0556139	0.02708113	0.02103105	0.04868317	0.08935663	0.05913911	0.08522984	0.0160734	0.05174543	0.1062121	0.05733845	0.1069101	0.06271977	0.08911699	0.1041621	0.02241739	0.09489913	0.03968259	0.09888544	0.08099471	0.04470636	0.08720612	0.1012668	0.1134246	0.1230261	0.1319114	0.1106611	0.09212476	0.1278812	0.08071908	0.09811496	0.1094166	0.06322627	0.076644	0.08682011	0.08938688	0.1046149	0.04265662	0.1260146	0.1793253	0.1357526	0.1404245	0.07135358	0.1627893	0.1144709	0.05434277	0.1326478	0.1144106	0.1213609	0.1087482	0.1580621	0.1252222
906.379	0.06321169	0.0853269	0.03013238	0.01250196	0.07005668	0.03332844	0.02878624	0.05527828	0.04946408	0.05855117	0.09200986	0.05420101	0.05624775	0.02691781	0.0209414	0.04824322	0.08768225	0.05872297	0.08491705	0.01584897	0.0521258	0.1074054	0.05778078	0.107779	0.06172927	0.08995422	0.1048919	0.02253439	0.09600881	0.03993407	0.09643307	0.0805513	0.04452277	0.08675832	0.1020217	0.1132977	0.1244803	0.1331861	0.1110415	0.0929905	0.1273112	0.08100605	0.09923203	0.1099209	0.06377869	0.07663262	0.08576048	0.08919255	0.1041746	0.04213196	0.1258863	0.1799978	0.1368963	0.1429882	0.07209644	0.1643243	0.113093	0.05445347	0.1346016	0.1152744	0.1235486	0.1078019	0.1588141	0.1266784
908.308	0.0618507	0.08422053	0.03009131	0.01227908	0.07050014	0.03333768	0.02894419	0.05566121	0.04921318	0.05867615	0.09276358	0.05462223	0.05674335	0.02685925	0.02090305	0.04783662	0.08616757	0.0583916	0.08479815	0.01563716	0.05247803	0.1082345	0.05814964	0.1087629	0.06100644	0.09090629	0.1057419	0.02260545	0.09653698	0.04013241	0.09465119	0.0803617	0.04436145	0.08646138	0.1027525	0.1131901	0.125733	0.1343889	0.1115921	0.09404907	0.1270371	0.0813638	0.1005021	0.1106602	0.06432264	0.07668369	0.08500312	0.08898866	0.103773	0.04167083	0.1261654	0.1807033	0.1381123	0.1454822	0.07309269	0.1661306	0.1124951	0.05464579	0.1364424	0.1161301	0.125831	0.107315	0.1595992	0.1284612
910.236	0.06067906	0.08342933	0.03020215	0.01212221	0.07097077	0.03326899	0.02909547	0.05604571	0.0490704	0.05869564	0.09346581	0.05502119	0.05717038	0.02691187	0.02089811	0.04749196	0.08489837	0.05817951	0.08483525	0.01543761	0.0527649	0.1091946	0.0584652	0.1098256	0.06047311	0.09171393	0.1063896	0.02263725	0.09680931	0.04033383	0.09357645	0.08039758	0.04427713	0.08630238	0.1033982	0.1134495	0.1265857	0.1357193	0.1120796	0.09489895	0.1272965	0.08172792	0.1014775	0.1113677	0.06478	0.07677306	0.08494087	0.08878398	0.1037995	0.04155656	0.1266268	0.1819843	0.139296	0.1475131	0.07378715	0.1677099	0.1124574	0.05488582	0.1380292	0.1170666	0.1275955	0.1072794	0.1603533	0.1301552
912.165	0.0597206	0.08295472	0.03026421	0.01202181	0.07148224	0.03326262	0.02926589	0.05643873	0.04906698	0.05885719	0.09411271	0.05539755	0.05759196	0.02705691	0.02091439	0.04722913	0.08388083	0.05809526	0.08499365	0.01525194	0.05298705	0.1102943	0.05876583	0.1106733	0.05997296	0.09229286	0.1071946	0.02265753	0.09738064	0.04041797	0.09307978	0.08065471	0.04418629	0.08627981	0.1038975	0.1138339	0.127229	0.1366019	0.1126475	0.09547177	0.1275911	0.08206968	0.1021483	0.1119251	0.06512805	0.07704484	0.08509462	0.08886656	0.1042649	0.04162766	0.1271804	0.1833749	0.1400896	0.1488707	0.07417062	0.1690125	0.1124556	0.05513328	0.1392638	0.117901	0.1282952	0.1075772	0.1611364	0.1312962
914.093	0.0589883	0.08278856	0.03043118	0.01196919	0.07202917	0.0333707	0.02946637	0.05686124	0.04923739	0.05926038	0.09474017	0.05575828	0.05800754	0.02727533	0.02094853	0.04707764	0.08312256	0.05814458	0.08527435	0.01510631	0.05318523	0.1113033	0.05908252	0.1115821	0.06009821	0.09284504	0.1080246	0.02269995	0.09819756	0.04073336	0.09275631	0.08120859	0.04445375	0.08644029	0.1042712	0.1144447	0.1276991	0.1371746	0.1135641	0.09604377	0.127997	0.08240825	0.1027689	0.1125579	0.065409	0.07727566	0.08523957	0.08917603	0.1047627	0.04165713	0.1278144	0.1851357	0.1406027	0.1497345	0.07464303	0.1704158	0.1128159	0.05536734	0.1401317	0.1185813	0.1284828	0.1077661	0.161744	0.132197
916.022	0.05852667	0.08291707	0.03055449	0.0119617	0.07256102	0.03359728	0.02967737	0.05729425	0.04958076	0.05986982	0.09535114	0.05609906	0.05838556	0.02756064	0.02100455	0.04707158	0.0826837	0.05834959	0.08568799	0.01503732	0.05339692	0.1121449	0.05942155	0.1124298	0.06049409	0.09311838	0.1087016	0.02278333	0.09886374	0.04115196	0.09268945	0.0821294	0.04501738	0.08683527	0.104599	0.1154386	0.1278533	0.1379174	0.1143343	0.09653398	0.128888	0.08274999	0.1035045	0.1130667	0.06565965	0.07742511	0.08552878	0.08970639	0.1052133	0.0418817	0.1284116	0.1875308	0.1410241	0.1501138	0.0753118	0.1716051	0.1134313	0.05558457	0.1406644	0.1191128	0.1288352	0.1079288	0.1623659	0.1330729
917.95	0.05839304	0.0833172	0.03050657	0.01199787	0.07301819	0.03395987	0.02986814	0.05767297	0.05006542	0.06063949	0.09593197	0.05643466	0.05873681	0.02791463	0.02109406	0.04723505	0.08263675	0.0587439	0.08625443	0.01505533	0.05363464	0.1127961	0.0597842	0.1129694	0.06065974	0.09317989	0.1095002	0.02290146	0.09953769	0.0412664	0.09294531	0.08307114	0.04543081	0.08748313	0.1049231	0.1165354	0.1281503	0.1387015	0.1148901	0.09701826	0.1299004	0.08307353	0.1040145	0.113542	0.06588312	0.07765459	0.08602945	0.09017493	0.1055697	0.04214098	0.1291263	0.1901772	0.1415297	0.150355	0.07584351	0.1726058	0.1141552	0.05580105	0.1409406	0.1198894	0.1291088	0.1081394	0.1632358	0.134011
919.879	0.05859968	0.08396247	0.03060278	0.01207366	0.07340395	0.03449765	0.03002721	0.05796376	0.05066716	0.06161324	0.09651466	0.05681381	0.05914855	0.02833638	0.0212257	0.0475689	0.08299784	0.05934286	0.08700822	0.01513365	0.0539131	0.1129855	0.06020173	0.1134901	0.06112413	0.09339757	0.1101251	0.02303649	0.1001617	0.04114798	0.09323129	0.08371536	0.04588825	0.0883726	0.1052454	0.1173093	0.1286074	0.1396265	0.1153434	0.09753136	0.1309779	0.08338293	0.1044504	0.1139969	0.06608667	0.07784157	0.08641776	0.09094562	0.1060973	0.04224428	0.1298417	0.1931681	0.142057	0.1506795	0.07621519	0.1734882	0.1151771	0.05605016	0.1411128	0.1207071	0.1292671	0.108445	0.1643177	0.1353372
921.807	0.05909349	0.08482604	0.03084525	0.01218688	0.07378515	0.0352082	0.03016991	0.05821397	0.05137399	0.06284382	0.09715877	0.05726776	0.05971072	0.02881234	0.02139024	0.04804499	0.08371795	0.0601186	0.08796388	0.01523865	0.05425318	0.1129053	0.06071345	0.1143375	0.061897	0.09359951	0.1108417	0.02317809	0.1010139	0.04116146	0.09379141	0.08464999	0.04638125	0.08946637	0.1056087	0.1182071	0.1289855	0.1403633	0.1159782	0.09781741	0.1324781	0.0837225	0.1049705	0.1144656	0.06629544	0.07789405	0.08698428	0.09207676	0.1070005	0.04255287	0.1306702	0.1968706	0.1423263	0.1510396	0.07663863	0.1740728	0.116546	0.05635465	0.1413419	0.121297	0.1296132	0.1089855	0.1659552	0.1367665
923.736	0.05980179	0.08587748	0.03094514	0.01233906	0.07420689	0.03594297	0.03031683	0.0584805	0.05216029	0.06414528	0.09786809	0.05776731	0.06036875	0.02931854	0.02157291	0.04861737	0.08472546	0.06101657	0.08909018	0.01535945	0.05463131	0.1132242	0.06128516	0.1151048	0.06280135	0.09375203	0.1118317	0.02331584	0.1022865	0.04122255	0.09462328	0.08604157	0.0469644	0.09070465	0.1060979	0.1196179	0.1294111	0.1409525	0.1166384	0.0980486	0.1341277	0.08412917	0.1051108	0.1149264	0.06652925	0.07794432	0.08803022	0.09328586	0.1077878	0.04298865	0.1319416	0.2010483	0.1428598	0.1513894	0.07706334	0.1748429	0.1180092	0.05671271	0.1416889	0.1218149	0.130039	0.1096541	0.1680197	0.1384005
925.664	0.06067961	0.08708894	0.03111163	0.01252802	0.07464699	0.03640654	0.03047881	0.05875537	0.0529925	0.06503733	0.09859335	0.05827231	0.06090022	0.02983747	0.02178729	0.04925093	0.08595767	0.06199285	0.09035193	0.01550677	0.05496681	0.1138902	0.06180055	0.1159628	0.06382752	0.09406482	0.1128393	0.02342659	0.1031276	0.04153283	0.09549034	0.08753711	0.04747628	0.09203718	0.1067542	0.1212528	0.1299848	0.1418122	0.1173484	0.0985674	0.1359251	0.08461233	0.1053186	0.1154457	0.06681297	0.07817943	0.08909569	0.09452814	0.1086421	0.04322508	0.1333223	0.2052935	0.1439497	0.1519676	0.07734539	0.1759679	0.1193965	0.05713103	0.1421381	0.1223851	0.1305914	0.1104624	0.1701307	0.1402927
927.592	0.06170341	0.0884394	0.03150108	0.01274115	0.07508876	0.03638329	0.03066126	0.05902816	0.05385992	0.06515963	0.0993402	0.05879967	0.06113867	0.03036866	0.0220747	0.04993642	0.08736683	0.06302646	0.09174559	0.01569399	0.05520962	0.1143067	0.06218771	0.1169156	0.06478012	0.09477039	0.1137822	0.02350035	0.1033714	0.04198285	0.0964884	0.08916767	0.0480116	0.09345198	0.1075564	0.123046	0.1307814	0.1429174	0.1183262	0.09924879	0.1379439	0.08518856	0.1059541	0.1161611	0.06719799	0.07866169	0.08992867	0.09575021	0.1095928	0.04348844	0.1347768	0.2098026	0.1451838	0.1527465	0.07749636	0.1770602	0.1208533	0.05764932	0.1427203	0.1231443	0.1315229	0.1115881	0.1723587	0.1423864
