group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,-0.9225,0.9,-2.8158,0.9709,False,
0 x Ambient x CSS,0 x Reduced x CSS,-1.5502,0.2259,-3.4436,0.3431,False,
0 x Ambient x CSS,0 x Reduced x Grassland,-1.4818,0.2894,-3.3751,0.4116,False,
0 x Ambient x CSS,3 x Ambient x CSS,1.2198,0.5927,-0.6736,3.1131,False,
0 x Ambient x CSS,3 x Ambient x Grassland,-1.5154,0.2566,-3.4088,0.3779,False,
0 x Ambient x CSS,3 x Reduced x CSS,-0.4836,0.9,-2.3769,1.4098,False,
0 x Ambient x CSS,3 x Reduced x Grassland,-1.3472,0.4457,-3.2405,0.5462,False,
0 x Ambient x CSS,5 x Ambient x CSS,-0.6926,0.9,-2.5859,1.2008,False,
0 x Ambient x CSS,5 x Ambient x Grassland,-1.2051,0.6094,-3.0985,0.6882,False,
0 x Ambient x CSS,5 x Reduced x CSS,-1.4091,0.3693,-3.3025,0.4842,False,
0 x Ambient x CSS,5 x Reduced x Grassland,-0.967,0.8802,-2.8603,0.9264,False,
0 x Ambient x CSS,6 x Ambient x CSS,-1.2823,0.5216,-3.1757,0.611,False,
0 x Ambient x CSS,6 x Ambient x Grassland,-1.6875,0.1292,-3.5809,0.2058,False,
0 x Ambient x CSS,6 x Reduced x CSS,-1.0812,0.7503,-2.9745,0.8122,False,
0 x Ambient x CSS,6 x Reduced x Grassland,-1.5452,0.2301,-3.4386,0.3481,False,
0 x Ambient x Grassland,0 x Reduced x CSS,-0.6277,0.9,-2.5211,1.2656,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-0.5593,0.9,-2.4527,1.334,False,
0 x Ambient x Grassland,3 x Ambient x CSS,2.1422,0.0135,0.2489,4.0356,True,
0 x Ambient x Grassland,3 x Ambient x Grassland,-0.593,0.9,-2.4863,1.3004,False,
0 x Ambient x Grassland,3 x Reduced x CSS,0.4389,0.9,-1.4545,2.3323,False,
0 x Ambient x Grassland,3 x Reduced x Grassland,-0.4247,0.9,-2.318,1.4687,False,
0 x Ambient x Grassland,5 x Ambient x CSS,0.2299,0.9,-1.6635,2.1232,False,
0 x Ambient x Grassland,5 x Ambient x Grassland,-0.2826,0.9,-2.176,1.6107,False,
0 x Ambient x Grassland,5 x Reduced x CSS,-0.4867,0.9,-2.38,1.4067,False,
0 x Ambient x Grassland,5 x Reduced x Grassland,-0.0445,0.9,-1.9378,1.8489,False,
0 x Ambient x Grassland,6 x Ambient x CSS,-0.3598,0.9,-2.2532,1.5335,False,
0 x Ambient x Grassland,6 x Ambient x Grassland,-0.765,0.9,-2.6584,1.1283,False,
0 x Ambient x Grassland,6 x Reduced x CSS,-0.1587,0.9,-2.0521,1.7346,False,
0 x Ambient x Grassland,6 x Reduced x Grassland,-0.6227,0.9,-2.5161,1.2706,False,
0 x Reduced x CSS,0 x Reduced x Grassland,0.0684,0.9,-1.8249,1.9618,False,
0 x Reduced x CSS,3 x Ambient x CSS,2.77,0.001,0.8766,4.6633,True,
0 x Reduced x CSS,3 x Ambient x Grassland,0.0348,0.9,-1.8586,1.9281,False,
0 x Reduced x CSS,3 x Reduced x CSS,1.0666,0.7669,-0.8267,2.96,False,
0 x Reduced x CSS,3 x Reduced x Grassland,0.2031,0.9,-1.6903,2.0964,False,
0 x Reduced x CSS,5 x Ambient x CSS,0.8576,0.9,-1.0357,2.751,False,
0 x Reduced x CSS,5 x Ambient x Grassland,0.3451,0.9,-1.5482,2.2385,False,
0 x Reduced x CSS,5 x Reduced x CSS,0.1411,0.9,-1.7523,2.0344,False,
0 x Reduced x CSS,5 x Reduced x Grassland,0.5833,0.9,-1.3101,2.4766,False,
0 x Reduced x CSS,6 x Ambient x CSS,0.2679,0.9,-1.6255,2.1613,False,
0 x Reduced x CSS,6 x Ambient x Grassland,-0.1373,0.9,-2.0307,1.756,False,
0 x Reduced x CSS,6 x Reduced x CSS,0.469,0.9,-1.4243,2.3624,False,
