group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,0.4907,0.9,-0.4924,1.4738,False,
0 x Ambient x CSS,0 x Reduced x CSS,0.9892,0.0472,0.0062,1.9723,True,
0 x Ambient x CSS,0 x Reduced x Grassland,-0.0551,0.9,-1.0382,0.928,False,
0 x Ambient x CSS,3 x Ambient x CSS,0.2176,0.9,-0.7655,1.2007,False,
0 x Ambient x CSS,3 x Ambient x Grassland,-0.3865,0.9,-1.3696,0.5966,False,
0 x Ambient x CSS,3 x Reduced x CSS,0.0138,0.9,-0.9692,0.9969,False,
0 x Ambient x CSS,3 x Reduced x Grassland,-0.5576,0.7585,-1.5407,0.4255,False,
0 x Ambient x CSS,5 x Ambient x CSS,0.1718,0.9,-0.8113,1.1549,False,
0 x Ambient x CSS,5 x Ambient x Grassland,-0.2536,0.9,-1.2367,0.7295,False,
0 x Ambient x CSS,5 x Reduced x CSS,-0.1128,0.9,-1.0959,0.8703,False,
0 x Ambient x CSS,5 x Reduced x Grassland,-0.5856,0.6972,-1.5687,0.3975,False,
0 x Ambient x CSS,6 x Ambient x CSS,-0.2229,0.9,-1.206,0.7601,False,
0 x Ambient x CSS,6 x Ambient x Grassland,-0.7066,0.4288,-1.6897,0.2765,False,
0 x Ambient x CSS,6 x Reduced x CSS,-0.1757,0.9,-1.1588,0.8073,False,
0 x Ambient x CSS,6 x Reduced x Grassland,-0.5731,0.7246,-1.5562,0.4099,False,
0 x Ambient x Grassland,0 x Reduced x CSS,0.4986,0.8879,-0.4845,1.4816,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-0.5458,0.7844,-1.5289,0.4373,False,
0 x Ambient x Grassland,3 x Ambient x CSS,-0.2731,0.9,-1.2562,0.71,False,
0 x Ambient x Grassland,3 x Ambient x Grassland,-0.8772,0.1282,-1.8603,0.1059,False,
0 x Ambient x Grassland,3 x Reduced x CSS,-0.4768,0.9,-1.4599,0.5063,False,
