group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,3.7768,0.0025,0.8404,6.7132,True,
0 x Ambient x CSS,0 x Reduced x CSS,4.2909,0.001,1.3545,7.2273,True,
0 x Ambient x CSS,0 x Reduced x Grassland,0.6675,0.9,-2.2689,3.6039,False,
0 x Ambient x CSS,3 x Ambient x CSS,-0.4857,0.9,-3.4221,2.4507,False,
0 x Ambient x CSS,3 x Ambient x Grassland,-1.1964,0.9,-4.1328,1.74,False,
0 x Ambient x CSS,3 x Reduced x CSS,0.8327,0.9,-2.1037,3.7691,False,
0 x Ambient x CSS,3 x Reduced x Grassland,-1.7366,0.7065,-4.6731,1.1998,False,
0 x Ambient x CSS,5 x Ambient x CSS,-0.0326,0.9,-2.969,2.9039,False,
0 x Ambient x CSS,5 x Ambient x Grassland,-0.5295,0.9,-3.4659,2.407,False,
0 x Ambient x CSS,5 x Reduced x CSS,-0.2286,0.9,-3.165,2.7078,False,
0 x Ambient x CSS,5 x Reduced x Grassland,-2.3141,0.2791,-5.2505,0.6224,False,
0 x Ambient x CSS,6 x Ambient x CSS,-0.5187,0.9,-3.4552,2.4177,False,
0 x Ambient x CSS,6 x Ambient x Grassland,-1.3925,0.9,-4.3289,1.5439,False,
0 x Ambient x CSS,6 x Reduced x CSS,-1.1871,0.9,-4.1235,1.7493,False,
0 x Ambient x CSS,6 x Reduced x Grassland,-1.4889,0.8881,-4.4253,1.4476,False,
0 x Ambient x Grassland,0 x Reduced x CSS,0.5141,0.9,-2.4223,3.4505,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-3.1093,0.0284,-6.0457,-0.1729,True,
0 x Ambient x Grassland,3 x Ambient x CSS,-4.2625,0.001,-7.1989,-1.3261,True,
0 x Ambient x Grassland,3 x Ambient x Grassland,-4.9732,0.001,-7.9097,-2.0368,True,
0 x Ambient x Grassland,3 x Reduced x CSS,-2.9441,0.0488,-5.8806,-0.0077,True,
0 x Ambient x Grassland,3 x Reduced x Grassland,-5.5135,0.001,-8.4499,-2.577,True,
0 x Ambient x Grassland,5 x Ambient x CSS,-3.8094,0.0022,-6.7458,-0.873,True,
0 x Ambient x Grassland,5 x Ambient x Grassland,-4.3063,0.001,-7.2427,-1.3699,True,
0 x Ambient x Grassland,5 x Reduced x CSS,-4.0054,0.001,-6.9418,-1.069,True,
0 x Ambient x Grassland,5 x Reduced x Grassland,-6.0909,0.001,-9.0273,-3.1545,True,
0 x Ambient x Grassland,6 x Ambient x CSS,-4.2956,0.001,-7.232,-1.3591,True,
0 x Ambient x Grassland,6 x Ambient x Grassland,-5.1693,0.001,-8.1057,-2.2329,True,
