group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,0.55,0.001,0.2835,0.8165,True,
0 x Ambient x CSS,0 x Reduced x CSS,0.4007,0.001,0.1342,0.6672,True,
0 x Ambient x CSS,0 x Reduced x Grassland,0.2354,0.1379,-0.0311,0.5019,False,
0 x Ambient x CSS,3 x Ambient x CSS,0.0741,0.9,-0.1924,0.3406,False,
0 x Ambient x CSS,3 x Ambient x Grassland,0.2662,0.0505,-0.0003,0.5327,False,
0 x Ambient x CSS,3 x Reduced x CSS,0.2024,0.3352,-0.0641,0.4689,False,
0 x Ambient x CSS,3 x Reduced x Grassland,0.052,0.9,-0.2144,0.3185,False,
0 x Ambient x CSS,5 x Ambient x CSS,0.0986,0.9,-0.1679,0.3651,False,
0 x Ambient x CSS,5 x Ambient x Grassland,0.2893,0.0217,0.0228,0.5558,True,
0 x Ambient x CSS,5 x Reduced x CSS,0.1701,0.6054,-0.0964,0.4366,False,
0 x Ambient x CSS,5 x Reduced x Grassland,0.0583,0.9,-0.2082,0.3248,False,
0 x Ambient x CSS,6 x Ambient x CSS,0.0609,0.9,-0.2056,0.3274,False,
0 x Ambient x CSS,6 x Ambient x Grassland,0.1217,0.9,-0.1448,0.3882,False,
0 x Ambient x CSS,6 x Reduced x CSS,0.1104,0.9,-0.1561,0.3769,False,
0 x Ambient x CSS,6 x Reduced x Grassland,0.0909,0.9,-0.1755,0.3574,False,
0 x Ambient x Grassland,0 x Reduced x CSS,-0.1493,0.7732,-0.4158,0.1171,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-0.3146,0.008,-0.5811,-0.0481,True,
0 x Ambient x Grassland,3 x Ambient x CSS,-0.4759,0.001,-0.7424,-0.2094,True,
0 x Ambient x Grassland,3 x Ambient x Grassland,-0.2838,0.0267,-0.5503,-0.0173,True,
0 x Ambient x Grassland,3 x Reduced x CSS,-0.3476,0.002,-0.6141,-0.0811,True,
0 x Ambient x Grassland,3 x Reduced x Grassland,-0.498,0.001,-0.7644,-0.2315,True,
0 x Ambient x Grassland,5 x Ambient x CSS,-0.4514,0.001,-0.7179,-0.1849,True,
0 x Ambient x Grassland,5 x Ambient x Grassland,-0.2607,0.0613,-0.5272,0.0058,False,
0 x Ambient x Grassland,5 x Reduced x CSS,-0.3799,0.001,-0.6464,-0.1134,True,
0 x Ambient x Grassland,5 x Reduced x Grassland,-0.4917,0.001,-0.7582,-0.2252,True,
0 x Ambient x Grassland,6 x Ambient x CSS,-0.4891,0.001,-0.7556,-0.2226,True,
0 x Ambient x Grassland,6 x Ambient x Grassland,-0.4283,0.001,-0.6948,-0.1618,True,
0 x Ambient x Grassland,6 x Reduced x CSS,-0.4396,0.001,-0.7061,-0.1732,True,
0 x Ambient x Grassland,6 x Reduced x Grassland,-0.4591,0.001,-0.7255,-0.1926,True,
0 x Reduced x CSS,0 x Reduced x Grassland,-0.1653,0.6445,-0.4318,0.1012,False,
0 x Reduced x CSS,3 x Ambient x CSS,-0.3266,0.0049,-0.593,-0.0601,True,
0 x Reduced x CSS,3 x Ambient x Grassland,-0.1345,0.8934,-0.4009,0.132,False,
0 x Reduced x CSS,3 x Reduced x CSS,-0.1983,0.3698,-0.4648,0.0682,False,
0 x Reduced x CSS,3 x Reduced x Grassland,-0.3486,0.0019,-0.6151,-0.0821,True,
0 x Reduced x CSS,5 x Ambient x CSS,-0.3021,0.0132,-0.5686,-0.0356,True,
0 x Reduced x CSS,5 x Ambient x Grassland,-0.1113,0.9,-0.3778,0.1551,False,
0 x Reduced x CSS,5 x Reduced x CSS,-0.2306,0.1598,-0.497,0.0359,False,
0 x Reduced x CSS,5 x Reduced x Grassland,-0.3424,0.0025,-0.6089,-0.0759,True,
0 x Reduced x CSS,6 x Ambient x CSS,-0.3398,0.0028,-0.6062,-0.0733,True,
0 x Reduced x CSS,6 x Ambient x Grassland,-0.279,0.0319,-0.5455,-0.0125,True,
0 x Reduced x CSS,6 x Reduced x CSS,-0.2903,0.0209,-0.5568,-0.0238,True,
0 x Reduced x CSS,6 x Reduced x Grassland,-0.3097,0.0097,-0.5762,-0.0432,True,
0 x Reduced x Grassland,3 x Ambient x CSS,-0.1613,0.6767,-0.4278,0.1052,False,
0 x Reduced x Grassland,3 x Ambient x Grassland,0.0308,0.9,-0.2357,0.2973,False,
