group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,-0.6864,0.8238,-1.9648,0.592,False,
0 x Ambient x CSS,0 x Reduced x CSS,0.4224,0.9,-0.856,1.7009,False,
0 x Ambient x CSS,0 x Reduced x Grassland,-1.355,0.0281,-2.6334,-0.0766,True,
0 x Ambient x CSS,3 x Ambient x CSS,0.3761,0.9,-0.9024,1.6545,False,
0 x Ambient x CSS,3 x Ambient x Grassland,-1.4667,0.0114,-2.7451,-0.1883,True,
0 x Ambient x CSS,3 x Reduced x CSS,-0.4106,0.9,-1.689,0.8678,False,
0 x Ambient x CSS,3 x Reduced x Grassland,-1.7618,0.001,-3.0402,-0.4834,True,
0 x Ambient x CSS,5 x Ambient x CSS,0.6355,0.9,-0.6429,1.914,False,
0 x Ambient x CSS,5 x Ambient x Grassland,-0.3245,0.9,-1.6029,0.954,False,
0 x Ambient x CSS,5 x Reduced x CSS,-0.6306,0.9,-1.9091,0.6478,False,
0 x Ambient x CSS,5 x Reduced x Grassland,-1.7687,0.001,-3.0471,-0.4903,True,
0 x Ambient x CSS,6 x Ambient x CSS,-0.0018,0.9,-1.2802,1.2767,False,
0 x Ambient x CSS,6 x Ambient x Grassland,-1.3771,0.0236,-2.6555,-0.0987,True,
0 x Ambient x CSS,6 x Reduced x CSS,-0.8101,0.6154,-2.0885,0.4683,False,
0 x Ambient x CSS,6 x Reduced x Grassland,-1.2939,0.0447,-2.5723,-0.0155,True,
0 x Ambient x Grassland,0 x Reduced x CSS,1.1089,0.1571,-0.1696,2.3873,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-0.6686,0.8538,-1.947,0.6098,False,
0 x Ambient x Grassland,3 x Ambient x CSS,1.0625,0.2065,-0.2159,2.3409,False,
0 x Ambient x Grassland,3 x Ambient x Grassland,-0.7803,0.6657,-2.0587,0.4981,False,
0 x Ambient x Grassland,3 x Reduced x CSS,0.2758,0.9,-1.0026,1.5543,False,
0 x Ambient x Grassland,3 x Reduced x Grassland,-1.0754,0.1916,-2.3538,0.203,False,
0 x Ambient x Grassland,5 x Ambient x CSS,1.322,0.0362,0.0435,2.6004,True,
0 x Ambient x Grassland,5 x Ambient x Grassland,0.362,0.9,-0.9165,1.6404,False,
0 x Ambient x Grassland,5 x Reduced x CSS,0.0558,0.9,-1.2226,1.3342,False,
0 x Ambient x Grassland,5 x Reduced x Grassland,-1.0823,0.1839,-2.3607,0.1961,False,
0 x Ambient x Grassland,6 x Ambient x CSS,0.6847,0.8267,-0.5938,1.9631,False,
0 x Ambient x Grassland,6 x Ambient x Grassland,-0.6907,0.8166,-1.9691,0.5877,False,
0 x Ambient x Grassland,6 x Reduced x CSS,-0.1237,0.9,-1.4021,1.1547,False,
0 x Ambient x Grassland,6 x Reduced x Grassland,-0.6075,0.9,-1.8859,0.6709,False,
