group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,0.2848,0.9,-0.8333,1.4029,False,
0 x Ambient x CSS,0 x Reduced x CSS,0.4168,0.9,-0.7013,1.5348,False,
0 x Ambient x CSS,0 x Reduced x Grassland,-0.1693,0.9,-1.2873,0.9488,False,
0 x Ambient x CSS,3 x Ambient x CSS,-0.1705,0.9,-1.2886,0.9475,False,
0 x Ambient x CSS,3 x Ambient x Grassland,-0.6239,0.7784,-1.7419,0.4942,False,
0 x Ambient x CSS,3 x Reduced x CSS,-0.4668,0.9,-1.5849,0.6512,False,
0 x Ambient x CSS,3 x Reduced x Grassland,-0.5116,0.9,-1.6297,0.6064,False,
0 x Ambient x CSS,5 x Ambient x CSS,0.0418,0.9,-1.0763,1.1598,False,
0 x Ambient x CSS,5 x Ambient x Grassland,-0.7416,0.5517,-1.8597,0.3765,False,
0 x Ambient x CSS,5 x Reduced x CSS,-0.3802,0.9,-1.4983,0.7379,False,
0 x Ambient x CSS,5 x Reduced x Grassland,-0.677,0.6761,-1.7951,0.441,False,
0 x Ambient x CSS,6 x Ambient x CSS,0.4021,0.9,-0.716,1.5202,False,
0 x Ambient x CSS,6 x Ambient x Grassland,-0.6892,0.6526,-1.8073,0.4289,False,
0 x Ambient x CSS,6 x Reduced x CSS,-0.4533,0.9,-1.5713,0.6648,False,
0 x Ambient x CSS,6 x Reduced x Grassland,-0.7243,0.585,-1.8424,0.3937,False,
0 x Ambient x Grassland,0 x Reduced x CSS,0.132,0.9,-0.9861,1.25,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-0.4541,0.9,-1.5721,0.664,False,
0 x Ambient x Grassland,3 x Ambient x CSS,-0.4553,0.9,-1.5734,0.6627,False,
0 x Ambient x Grassland,3 x Ambient x Grassland,-0.9087,0.2357,-2.0267,0.2094,False,
0 x Ambient x Grassland,3 x Reduced x CSS,-0.7516,0.5324,-1.8697,0.3664,False,
0 x Ambient x Grassland,3 x Reduced x Grassland,-0.7964,0.4438,-1.9145,0.3216,False,
0 x Ambient x Grassland,5 x Ambient x CSS,-0.243,0.9,-1.3611,0.875,False,
0 x Ambient x Grassland,5 x Ambient x Grassland,-1.0264,0.104,-2.1444,0.0917,False,
0 x Ambient x Grassland,5 x Reduced x CSS,-0.665,0.6992,-1.7831,0.4531,False,
0 x Ambient x Grassland,5 x Reduced x Grassland,-0.9618,0.1662,-2.0799,0.1563,False,
0 x Ambient x Grassland,6 x Ambient x CSS,0.1173,0.9,-1.0008,1.2354,False,
0 x Ambient x Grassland,6 x Ambient x Grassland,-0.974,0.1524,-2.0921,0.1441,False,
0 x Ambient x Grassland,6 x Reduced x CSS,-0.7381,0.5585,-1.8561,0.38,False,
0 x Ambient x Grassland,6 x Reduced x Grassland,-1.0091,0.1188,-2.1272,0.109,False,
0 x Reduced x CSS,0 x Reduced x Grassland,-0.5861,0.8512,-1.7041,0.532,False,
0 x Reduced x CSS,3 x Ambient x CSS,-0.5873,0.8489,-1.7053,0.5308,False,
0 x Reduced x CSS,3 x Ambient x Grassland,-1.0407,0.093,-2.1587,0.0774,False,
0 x Reduced x CSS,3 x Reduced x CSS,-0.8836,0.275,-2.0017,0.2345,False,
0 x Reduced x CSS,3 x Reduced x Grassland,-0.9284,0.2077,-2.0464,0.1897,False,
0 x Reduced x CSS,5 x Ambient x CSS,-0.375,0.9,-1.4931,0.7431,False,
0 x Reduced x CSS,5 x Ambient x Grassland,-1.1584,0.0355,-2.2764,-0.0403,True,
0 x Reduced x CSS,5 x Reduced x CSS,-0.797,0.4427,-1.915,0.3211,False,
0 x Reduced x CSS,5 x Reduced x Grassland,-1.0938,0.0613,-2.2118,0.0243,False,
0 x Reduced x CSS,6 x Ambient x CSS,-0.0147,0.9,-1.1327,1.1034,False,
0 x Reduced x CSS,6 x Ambient x Grassland,-1.106,0.0554,-2.224,0.0121,False,
0 x Reduced x CSS,6 x Reduced x CSS,-0.87,0.2979,-1.9881,0.248,False,
0 x Reduced x CSS,6 x Reduced x Grassland,-1.1411,0.0412,-2.2591,-0.023,True,
0 x Reduced x Grassland,3 x Ambient x CSS,-0.0012,0.9,-1.1193,1.1168,False,
0 x Reduced x Grassland,3 x Ambient x Grassland,-0.4546,0.9,-1.5727,0.6635,False,
0 x Reduced x Grassland,3 x Reduced x CSS,-0.2975,0.9,-1.4156,0.8205,False,
0 x Reduced x Grassland,3 x Reduced x Grassland,-0.3423,0.9,-1.4604,0.7757,False,
0 x Reduced x Grassland,5 x Ambient x CSS,0.211,0.9,-0.907,1.3291,False,
0 x Reduced x Grassland,5 x Ambient x Grassland,-0.5723,0.8777,-1.6904,0.5457,False,
0 x Reduced x Grassland,5 x Reduced x CSS,-0.2109,0.9,-1.329,0.9071,False,
0 x Reduced x Grassland,5 x Reduced x Grassland,-0.5077,0.9,-1.6258,0.6103,False,
0 x Reduced x Grassland,6 x Ambient x CSS,0.5714,0.8795,-0.5467,1.6894,False,
0 x Reduced x Grassland,6 x Ambient x Grassland,-0.5199,0.9,-1.638,0.5981,False,
0 x Reduced x Grassland,6 x Reduced x CSS,-0.284,0.9,-1.402,0.8341,False,
0 x Reduced x Grassland,6 x Reduced x Grassland,-0.555,0.9,-1.6731,0.563,False,
3 x Ambient x CSS,3 x Ambient x Grassland,-0.4534,0.9,-1.5714,0.6647,False,
3 x Ambient x CSS,3 x Reduced x CSS,-0.2963,0.9,-1.4144,0.8217,False,
