group1,group2,meandiff,p-adj,lower,upper,reject,
0 x Ambient x CSS,0 x Ambient x Grassland,2561.0,0.9,-3643.1833,8765.1833,False,
0 x Ambient x CSS,0 x Reduced x CSS,1354.0,0.9,-4850.1833,7558.1833,False,
0 x Ambient x CSS,0 x Reduced x Grassland,2062.0,0.9,-4142.1833,8266.1833,False,
0 x Ambient x CSS,3 x Ambient x CSS,1533.5,0.9,-4670.6833,7737.6833,False,
0 x Ambient x CSS,3 x Ambient x Grassland,7164.75,0.0106,960.5667,13368.9333,True,
0 x Ambient x CSS,3 x Reduced x CSS,1805.5,0.9,-4398.6833,8009.6833,False,
0 x Ambient x CSS,3 x Reduced x Grassland,7855.75,0.0031,1651.5667,14059.9333,True,
0 x Ambient x CSS,5 x Ambient x CSS,3315.75,0.8291,-2888.4333,9519.9333,False,
0 x Ambient x CSS,5 x Ambient x Grassland,7203.5,0.0099,999.3167,13407.6833,True,
0 x Ambient x CSS,5 x Reduced x CSS,1792.25,0.9,-4411.9333,7996.4333,False,
0 x Ambient x CSS,5 x Reduced x Grassland,8093.0,0.002,1888.8167,14297.1833,True,
0 x Ambient x CSS,6 x Ambient x CSS,111.75,0.9,-6092.4333,6315.9333,False,
0 x Ambient x CSS,6 x Ambient x Grassland,6514.0,0.031,309.8167,12718.1833,True,
0 x Ambient x CSS,6 x Reduced x CSS,6906.5,0.0164,702.3167,13110.6833,True,
0 x Ambient x CSS,6 x Reduced x Grassland,5050.75,0.2335,-1153.4333,11254.9333,False,
0 x Ambient x Grassland,0 x Reduced x CSS,-1207.0,0.9,-7411.1833,4997.1833,False,
0 x Ambient x Grassland,0 x Reduced x Grassland,-499.0,0.9,-6703.1833,5705.1833,False,
0 x Ambient x Grassland,3 x Ambient x CSS,-1027.5,0.9,-7231.6833,5176.6833,False,
0 x Ambient x Grassland,3 x Ambient x Grassland,4603.75,0.3744,-1600.4333,10807.9333,False,
0 x Ambient x Grassland,3 x Reduced x CSS,-755.5,0.9,-6959.6833,5448.6833,False,
0 x Ambient x Grassland,3 x Reduced x Grassland,5294.75,0.175,-909.4333,11498.9333,False,
0 x Ambient x Grassland,5 x Ambient x CSS,754.75,0.9,-5449.4333,6958.9333,False,
